ARPT_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL
5AL4,CHILTON CO HEALTH CARE AUTH,32.88070555,-86.62107222
11A,CLAYTON MUNI,31.88332444,-85.48522472
9AL6,FLYING HOG FARM,31.236107,-85.14170541
1AL2,TRI-L ACRES AIRPARK,33.24715277,-86.59791666
91AL,SHELBY COUNTY SHERIFF'S OFFICE,33.18661944,-86.6268
AL13,WESTROCK - MAHRT MILL,32.17237444,-85.02881916
9A4,COURTLAND,34.65815833,-87.34855805
AL51,FLYING C'S PLANTATION,32.41611111,-85.29916666
15A,MARK REYNOLDS/NORTH MOBILE COUNTY,30.90913888,-87.99633333
CMD,CULLMAN RGNL/FOLSOM FLD,34.2687025,-86.85803527
3AL9,CULLMAN RGNL MEDICAL CENTER,34.20198333,-86.8065
5AL6,LAKE MARTIN COMMUNITY HOSPITAL,32.81849166,-85.74151111
30AL,MED FLIGHT 2,34.373,-87.0805
4R9,JEREMIAH DENTON,30.26048166,-88.12747305
6AL8,MALBIS MED PARK-INFIRMARY HEALTH,30.65463611,-87.85425277
4AL3,TREEO,30.59180555,-87.82258333
AL47,BELFOREST FIELD,30.59495,-87.82091805
DCU,PRYOR FLD RGNL,34.65405555,-86.94536111
1AL1,DECATUR MORGAN HOSPITAL,34.59209722,-86.972125
DYA,DEMOPOLIS RGNL,32.46383333,-87.95405555
AL14,WHITFIELD RGNL HOSPITAL,32.50555555,-87.83638888
AL20,SOUTHEAST ALABAMA MEDICAL CENTER,31.21810277,-85.36745555
AL59,FLOWERS HOSPITAL,31.23736666,-85.45478333
DHN,DOTHAN RGNL,31.32102777,-85.44947222
1AL9,BARBER MARINA,30.31545,-87.57237777
14J,CARL FOLSOM,31.41004166,-86.09033611
7AL9,HORAK,30.46922777,-87.54391111
AL08,PERDIDO WINDS AIRPARK,30.42500833,-87.53670555
AL55,SHIELDS,30.44186388,-87.46386833
EDN,ENTERPRISE MUNI,31.29972222,-85.89983333
EUF,WEEDON FLD,31.95130555,-85.12891666
AL00,MEDICAL CENTER BARBOUR,31.88945277,-85.15621666
3A7,EUTAW MUNI,32.82041666,-87.86508333
09AL,GREENE COUNTY HOSPITAL & NURSING HOME,32.84241111,-87.890525
GZH,EVERGREEN RGNL/MIDDLETON FLD,31.415,-87.04336111
0AL3,HOSPITAL PAD,31.4301,-86.94021666
CQF,H L SONNY CALLAHAN,30.4605,-87.87702777
M95,RICHARD ARTHUR FLD,33.70910583,-87.81520861
3AL0,FAYETTE MEDICAL CENTER,33.70916666,-87.82361111
4AL7,LEON'S LANDING,34.74472222,-85.68983333
43AL,FLAT ROCK COMMUNITY CLUB,34.76891944,-85.69620555
52AL,TRIPLE R RIDGE,34.80291666,-85.64969444
0AL5,FLOMATON,31.03222222,-87.25277777
7AL8,FLORALA EMERGENCY HELIPAD,31.00091111,-86.31365555
0J4,FLORALA MUNI,31.04247361,-86.31156111
AL46,SHOALS CREEK,34.902585,-87.58724777
0AL9,WILSON CREEK,34.85,-87.6325
40AL,NORTH ALABAMA MEDICAL CENTER,34.805125,-87.65281944
0AL1,RESORT,30.44388888,-87.65694444
02AL,BASS FLD,30.37146388,-87.76444444
3AL4,FOLEY HOSPITAL,30.42666944,-87.68511388
5R4,HOLK FLD AT FOLEY MUNI,30.42766666,-87.70097222
NBJ,BARIN NOLF,30.39031386,-87.63156008
48AL,OWA,30.37305555,-87.66333333
9AL5,GREENE COUNTY STEAM PLANT,32.60131388,-87.78350555
67A,FORT DEPOSIT-LOWNDES COUNTY,31.97237083,-86.59164138
2AL5,FLYING H RANCH,34.39277777,-85.665
4A9,ISBELL FLD,34.47369444,-85.72138888
0AL4,DEKALB RGNL MED CNTR,34.44208258,-85.7557915
OZR,CAIRNS AAF (FORT RUCKER),31.27577694,-85.71335111
HEY,HANCHEY AHP (FORT RUCKER),31.35573416,-85.65186305
LOR,LOWE AHP (FORT RUCKER),31.35583333,-85.75116666
FHK,KNOX AHP,31.31683833,-85.66660194
SXS,SHELL AHP,31.36266944,-85.84938333
24AL,TOTH STAGEFIELD AHP,31.22570833,-85.56159444
25AL,LUCAS AHP,31.269875,-86.04093888
05AL,ALLEN STAGEFIELD AHP,31.231175,-85.64970277
06AL,BROWN STAGEFIELD AHP,31.38843888,-85.972425
11AL,ECH STAGEFIELD AHP,31.39369444,-85.7515
12AL,GOLDBERG STAGEFIELD AHP,31.41397777,-85.45985
13AL,HATCH AHP,31.35897222,-85.62054444
14AL,HIGHBLUFF AHP,31.15353888,-85.73368055
15AL,HIGHFALLS STAGEFIELD AHP,31.09361111,-85.78794444
16AL,HOOPER STAGEFIELD AHP,31.40841111,-85.68924444
17AL,HUNT AHP,31.38018611,-85.580275
19AL,MOLINELLI STAGEFIELD AHP,31.48243055,-85.78506388
20AL,RUNKLE STAGEFIELD AHP,31.33881388,-86.09174722
21AL,SKELLY STAGEFIELD AHP,31.28765277,-86.13006111
22AL,STINSON STAGEFIELD AHP,31.36079444,-86.01373055
23AL,TABERNACLE STAGEFIELD AHP,31.46495277,-85.84633611
07AL,TAC X STAGEFIELD AHP,31.12101388,-85.97724166
65AL,SHERIFF'S TRNG CNTR,33.60194444,-86.86361111
GAD,NORTHEAST ALABAMA RGNL,33.97040527,-86.09128861
0AL7,GADSDEN REGL MEDICAL CENTER,34.00833333,-85.96527777
41AL,UAB HOSPITAL/GARDENDALE FED,33.6484,-86.8189
AL18,PARKER FLD,33.67621472,-86.86749388
AL43,HENLEY RANCH,32.9084625,-88.33336666
33J,GENEVA MUNI,31.052625,-85.86894444
8AL9,WIREGRASS HOSPITAL,31.04976111,-85.89199444
7A0,GREENSBORO MUNI,32.68154027,-87.66206916
PRN,MAC CRENSHAW MEML,31.84569444,-86.61075
71AL,SELLS,31.80878611,-86.523525
68AL,HEART OF DIXIE AERO ESTATES,31.8084,-86.525
29AL,RGNL MEDICAL CNTR OF CNTRL ALABAMA,31.82994722,-86.64640277
08AL,LITTLE LAGOON,30.24371666,-87.75467777
AL75,GULF STATE PARK,30.26327777,-87.63688888
AL96,BON SECOUR,30.29833333,-87.74083333
JKA,GULF SHORES INTL/JACK EDWARDS FLD,30.28963888,-87.67177777
90AL,SOUTH BALDWIN COASTAL FED,30.292525,-87.68248888
8A1,GUNTERSVILLE MUNI/JOE STARNES FLD,34.40618919,-86.26087027
5AL0,MARSHALL MEDICAL CENTER NORTH,34.36517222,-86.422975
AL10,FRERICHS,34.65120083,-86.41693166
1M4,POSEY FLD,34.28033333,-87.60041666
98AL,LAKELAND COMMUNITY HOSPITAL,34.24236944,-87.59229166
HAB,MARION COUNTY-RANKIN FITE,34.11694444,-87.99822222
9AL8,NORTH MISSISSIPPI MEDICAL CENTER-HAMILTON,34.12719444,-87.99083333
2AL7,MOUNT AERO LAKE FARM,34.06277777,-86.72305555
AL92,HAWK FLD,33.30733388,-86.40358972
AL62,STRIPLIN AIRFIELD,31.08295583,-85.68354416
3AL1,FLYING H RANCH,31.05041666,-85.68527777
5M0,HARTSELLE/MORGAN COUNTY RGNL,34.40822222,-86.93294444
9AL0,CULLMAN RGNL MEDICAL CENTER HARTSELLE,34.45837777,-86.94833055
00AL,EPPS AIRPARK,34.86481027,-86.7702775
9AL9,CRESTWOOD MEDICAL CENTER FSED,34.83116666,-86.70261111
8AL7,HAZEL GREEN ACRES,34.98047222,-86.69230555
M38,HAZEL GREEN,34.91613194,-86.64704583
AL99,ELKWOOD AIRPARK,34.98073333,-86.68400555
HDL,HEADLAND MUNI,31.36413888,-85.31252777
6AL0,FLYING TIGERS WINERY & RESORT,33.62722211,-85.4296233
9AL1,BROOKWOOD FED HELIPAD,33.42027777,-86.66944444
8AL1,MED WEST- HOOVER,33.35472222,-86.85583333
AL93,BIG SKY,34.88564333,-86.70999777
HSV,HUNTSVILLE INTL-CARL T JONES FLD,34.63719694,-86.77505416
AL36,THE HUNTSVILLE HOSPITAL,34.721125,-86.58066666
3M5,MOONTOWN,34.74736111,-86.46097222
4AL8,MILTON,34.49054166,-86.67343333
MDQ,HUNTSVILLE EXEC TOM SHARP JR FLD,34.85935222,-86.55751388
32AL,SES NORTH PAD,34.66486111,-86.746625
AL72,MADISON COUNTY 911 CALL CENTER,34.75483333,-86.67725
AL05,SEHOY,32.221336,-85.471783
38AL,SAWTOOTH PLANTATION,32.16833333,-85.40375
2AL6,DALE O GALER AERODROME,30.49198055,-88.19730833
4R3,JACKSON MUNI,31.47055972,-87.89590138
3AL5,EDWARDS FARM,33.83530555,-85.76391666
AL63,WALKER RGNL MEDICAL CENTER,33.84400555,-87.23666388
JFX,WALKER COUNTY/BEVILL FLD,33.902,-87.31383333
8AL4,LAY DAM,32.95923055,-86.51956388
5AL7,JOHN H HATAWAY,31.25,-86.16666666
7A3,LANETT RGNL,32.81184333,-85.22948638
9AL3,WEISS DAM,34.13226111,-85.79540833
4AL9,T W SPEAR MEML,31.97472222,-86.29388888
7AL1,EXPLORER,34.99375,-87.34194444
AL88,BAN FARM,30.42658666,-87.47081277
AL35,MC GINNIS,30.61963638,-87.7044325
57AL,BASWELL,30.65319444,-87.72375
1AL5,BERRY FLD,30.63638888,-87.74777777
AL97,WILLIAMSON FARM,30.64511944,-87.67056388
04A,FRANK SIKES,31.73638694,-86.26245463
AL06,CRENSHAW COMMUNITY HOSPITAL,31.69385277,-86.26571944
7AL7,PRATT LANDING,31.0645,-85.43938888
2AL1,COLLIER AIRPARK,30.42408611,-87.77776694
AL76,MAYFIELD (PVT),32.84873694,-86.86998833
A08,VAIDEN FLD,32.5105,-87.38477777
AL95,MC INTOSH COMMUNITY,31.27350361,-88.01250055
AL09,CLOUDMONT AIRPARK,34.54085694,-85.59229305
86AL,EAGLE AVIATION,31.29251388,-85.53930833
28AL,FOSHEE,32.43322222,-86.37459166
BFM,MOBILE INTL,30.62678055,-88.06809083
AL52,USA HEALTH SYSTEM-UNIVERSITY HOSPITAL,30.70798333,-88.09846944
AL82,USA HEALTH PROVIDENCE HOSPITAL,30.67935694,-88.20000333
62AL,SKYWEST AIRPARK,30.68352444,-88.37195555
MOB,MOBILE RGNL,30.69141666,-88.24283333
75AL,USA CHILDRENS & WOMENS HOSPITAL,30.69874166,-88.07746944
AL31,USA FED,30.68660555,-88.18878888
59AL,SPRINGHILL MEDICAL,30.68368888,-88.13097777
1AL6,MONROE COUNTY HOSPITAL,31.49885,-87.32083611
MVC,MONROE COUNTY AEROPLEX,31.45805555,-87.35102777
5AL3,FLYING X RANCH,33.152895,-86.85137777
MXF,MAXWELL AFB,32.38294444,-86.36577777
1AL3,MONTGOMERY CREW HEADQUARTERS,32.40916388,-86.25611111
1AL7,BUSINESS CENTER OF ALABAMA,32.37786388,-86.29596111
AL11,BAPTIST MEDICAL CENTER,32.32752777,-86.27655555
AL12,KERSHAW,32.3608,-86.120725
MGM,MONTGOMERY RGNL (DANNELLY FLD),32.30063888,-86.39397222
45AL,HYUNDAI MOTOR MANUFACTURING ALABAMA,32.28024722,-86.34110277
63AL,JFHQ-AL,32.404526,-86.259067
1AL8,MOORE FLD,33.61093055,-86.47490555
AL34,ELAM'S LANDING,34.44704,-87.38613277
AL86,LAWRENCE COUNTY HOSPITAL,34.48407777,-87.284875
AL44,MOUNDVILLE,32.96949027,-87.63702083
AL24,ROTOR WING INC,33.67762777,-86.87034444
77ID,ASHLEY,43.52444444,-116.4069444
MSL,NORTHWEST ALABAMA RGNL,34.74530555,-87.61022222
AL53,SHOALS HOSPITAL,34.74728611,-87.67777222
5AL5,BIG RIVER AIRPARK,34.69208611,-87.65121944
4AL0,BANKHEAD DAM,33.45482222,-87.36065
9AL4,HENRY DAM,33.78486666,-86.05067222
20A,ROBBINS FLD,33.97127777,-86.38038888
4AL2,ST VINCENT'S BLT,33.92972222,-86.49472222
AL89,SOMMERSET STRIP,32.7187425,-85.36689027
3AL2,EAST ALABAMA MEDICAL CENTER,32.63916666,-85.40222222
AL85,EAMC FREESTANDING EMERG DEPT,32.584275,-85.49988611
AL28,CARIBE HELIPAD,30.27786111,-87.54345
AL71,WILLOW POINT,32.80373777,-85.98051916
3AL8,FLINT RIVER RANCH,34.61916666,-86.46694444
7AL3,OXFORD POLICE,33.600448,-85.864283
71J,OZARK/BLACKWELL FLD,31.431812,-85.62053391
AL87,DALE MEDICAL CENTER,31.45091666,-85.63223055
36AL,HIDDEN SPRINGS AIRPARK,31.49288888,-85.53427777
8AL5,PLANT GORGAS,33.64248333,-87.19717222
37AL,VETERANS,33.60356666,-86.30294166
PLR,ST CLAIR COUNTY,33.55883333,-86.24905555
AL33,STURDY OAK FARM,31.03603055,-87.59380833
2AL8,FINKLEY FARM,32.42111111,-85.24805555
84AL,BLESSINGS LANDING AIR RANCH,31.30261111,-85.52313888
7AL5,LIBERTY FLD,31.28990277,-85.54047777
AL16,TURKEY CREEK,33.72676805,-86.72360222
1A9,PRATTVILLE/GROUBY FLD,32.43872222,-86.51269444
HUA,REDSTONE AAF,34.67866083,-86.68479055
3M8,NORTH PICKENS,33.38675277,-88.00657916
7A5,ROANOKE MUNI ENLOE,33.12967777,-85.37221527
2AL2,ROANOKE VOLUNTEER FIRE DEPARTMENT,33.15725833,-85.38911666
AL25,SPRATLING FLD,32.24236861,-85.60105944
AL84,VELOX,30.54056691,-87.56891752
1AL4,ELSANOR,30.54472222,-87.55944444
AL61,ELK HAVEN,34.82809913,-87.21582466
M22,BILL PUGH FLD,34.44508333,-87.71163888
AL15,RUSSELLVILLE HOSPITAL PAD,34.510625,-87.71929166
2R5,ST ELMO,30.50191666,-88.27511111
1A4,LOGAN FLD,31.10370277,-86.0626
36AA,W M THOMAS PAD,32.71683611,-87.749525
4A6,SCOTTSBORO MUNI-WORD FLD,34.68870444,-86.00593194
03AL,HIGHLAND MEDICAL CENTER,34.66259722,-86.04676666
8AL6,AIR EVAC BASE 32,34.66028611,-86.04923888
SEM,CRAIG FLD,32.34394666,-86.98780555
AL90,VAUGHAN RGNL MEDICAL CENTER,32.42866944,-87.05701111
AL74,GRIMES FLD,30.764355,-88.30584138
47AL,SOUTHFLIGHT,30.78484166,-88.28074722
AL41,FREEDOM FLD,31.11601055,-85.62548888
31AL,OLD CHIPLEY HELO,31.07828888,-85.53778888
9AL7,JK FARMS LLC,32.36527777,-85.81194444
2AL0,PLANT FRANKLIN,32.60753333,-85.09458611
AL04,MCCALL,34.47958333,-86.77111111
AL58,LOWER DELTA,30.67547583,-87.95987111
6AL5,BIG SKY FARMS,32.73945852,-86.22518561
7AL2,PETERSON FLD,33.86482083,-86.31083583
7A6,STEVENSON,34.88627638,-85.80328888
HL2,HUBBARD LANDING,31.06361111,-87.87
0NY2,AMAR,41.23102777,-74.04733333
AL69,VAUGHN,30.50852861,-87.4916475
4AL6,BONNER FLD,30.4668625,-87.68331972
NFD,SUMMERDALE NOLF,30.50762947,-87.64687736
SCD,MERKEL FLD SYLACAUGA MUNI,33.17183333,-86.30552777
46AL,SLY PIG'S BASE,33.19833333,-86.475
8AL2,CHARLES C KILLOUGH FLD,33.355426,-86.262135
55AL,COOSA VALLEY LANDING ZONE,33.16654722,-86.25535555
ASN,TALLADEGA MUNI,33.56950416,-86.05120138
3AL7,TALLADEGA INFIELD CARE CENTER,33.56988333,-86.070125
AL83,COMMUNITY HOSPITAL,32.53345277,-85.91171388
5AL2,MIDSTREAM FUEL SERVICE,30.52767222,-88.10254444
AL48,SOUTHWEST ALABAMA MEDICAL CENTER,31.93070777,-87.73750388
97AL,THOMASVILLE RGNL MEDICAL CENTER,31.87582777,-87.74306944
TOI,TROY MUNI AT N KENNETH CAMPBELL FLD,31.86,-86.01388888
AL77,SMART ROAD,31.74055555,-86.00730555
AL73,ASCENSION ST. VINCENTS FED,33.64145,-86.61225555
95AL,GRANDVIEW MEDICAL CENTER FSED,33.61798333,-86.61922777
TCL,TUSCALOOSA NTL,33.22062888,-87.61140388
AL26,BRYANT CULBERSON,33.20595166,-87.52778333
3AL3,TUSCALOOSA POLICE DEPARTMENT,33.17398055,-87.55687222
9AL2,HOLT DAM,33.25671111,-87.45049166
6AL4,AIR EVAC 16,34.67171388,-87.63281388
06A,MOTON FLD MUNI,32.46047222,-85.68002777
27AL,LITTLE TEXAS,32.45352777,-85.55815555
80AL,SUNFLOWER RANCH,32.1337405,-86.775795
07A,FRANKLIN FLD,32.1675925,-85.81119666
AL07,EAMC-LANIER,32.829542,-85.168723
M55,LAMAR COUNTY,33.84671888,-88.11547583
7AL0,LOGAN MARTIN DAM,33.42725833,-86.34083888
6AL3,LAY LANDING,33.379134,-86.377229
4AL1,TANNER EAST ALABAMA,33.29444444,-85.48027777
08A,WETUMPKA MUNI,32.52733333,-86.33102777
2AL3,EMERALD MOUNTAIN,32.45541416,-86.11916666
AL94,EVANS FLD,30.81268777,-88.37723416
AL17,LAZY EIGHT AIRPARK LLC,33.23400305,-86.51303666
34AL,GASTON STEAM PLANT,33.24653333,-86.46913333
AL54,BIRD NEST,33.86333333,-87.84527777
4AL5,J5 MIKE,34.66634722,-86.22228611
99AL,MORRISON CROSSROADS VOL FIRE DEPT,33.42711111,-85.49343611
AL98,WOODLAND CLINIC,33.37228333,-85.39584722
26AZ,FLYING DARES RANCH,34.01197194,-113.2029706
27AZ,EAGLE ROOST AIRPARK,33.91935,-113.1678167
28AZ,SAMPLEYS,33.92280722,-113.1813033
P01,ERIC MARCUS MUNI,32.45289027,-112.8614083
E51,BAGDAD,34.59289444,-113.1719486
31AZ,BENSON,31.96369444,-110.2597947
E95,BENSON MUNI/PAUL KERCHUM FLD,31.99944444,-110.3579722
P04,BISBEE MUNI,31.36399027,-109.8831286
6AZ6,COPPER QUEEN HOSPITAL,31.41768888,-109.8824667
62AZ,JALAPENO RANCH,33.86005833,-113.9298111
10AZ,FARM AG,33.36670833,-112.6187781
BXK,BUCKEYE MUNI,33.42253388,-112.6862339
29AZ,ABRAZO BUCKEYE HOSPITAL,33.45828888,-112.5114972
22AZ,WESTERN ARIZONA RGNL MEDICAL CENTER,35.11135833,-114.5542917
IFP,LAUGHLIN/BULLHEAD INTL,35.15461444,-114.5593322
A20,SUN VALLEY,35.00563888,-114.5650278
1AZ8,WILLOW SPRINGS RANCH,35.29583,-114.3730156
0AZ9,EAGLE AIRPARK,34.88818194,-114.6166389
19AZ,MONTEZUMA,34.60502361,-111.8651517
01AZ,YAT,34.60805555,-111.8647222
33AZ,YOLO RANCH,34.79863,-112.9701872
AZ91,THE BOULDERS,33.80281694,-111.9184803
18AZ,SKY RANCH AT CAREFREE,33.8186125,-111.8981292
AZ52,HORSESHOE DAM,33.98278611,-111.7141722
AZ51,BARTLETT DAM,33.81865277,-111.6326383
CGZ,CASA GRANDE MUNI,32.95489805,-111.76682
P19,STELLAR AIRPARK,33.29877111,-111.9157875
AZ87,JEPPESEN RANCH,33.22755111,-111.8534717
AZ76,CHANDLER RGNL MEDICAL CENTER,33.29811944,-111.873525
CHD,CHANDLER MUNI,33.26909611,-111.8111211
AZ77,BANNER OCOTILLO MEDICAL CENTER,33.28610277,-111.8566139
E91,CHINLE MUNI,36.10930555,-109.5754722
59AZ,ROBIN,34.74446722,-112.4451689
Z95,CIBECUE,34.00333333,-110.4441667
CFT,GREENLEE COUNTY,32.95703863,-109.2111623
AZ66,DOUBLE CIRCLE RANCH,33.34054722,-109.4944653
AZC,COLORADO CITY MUNI,36.95994444,-113.0138889
P08,COOLIDGE MUNI,32.93602388,-111.4264728
37AZ,SARITA,32.93561777,-111.4845667
P52,COTTONWOOD,34.73005611,-112.0351372
AZ22,MARCUS J LAWRENCE MEDICAL CENTER,34.73698611,-112.0296306
AZ86,A C GOODWIN MEML FLD,34.68519444,-112.29025
AZ72,NORTHSTAR,34.24105555,-112.3627778
AZ00,MORTON FLD,32.80583333,-113.5069444
AZ49,AILERON ORCHARDS,35.78886666,-114.1320972
DGL,DOUGLAS MUNI,31.34260277,-109.5064544
AZ17,CIRCLE H RANCH,31.50222222,-109.3911111
P03,COCHISE COLLEGE,31.37131388,-109.6899528
DUG,BISBEE DOUGLAS INTL,31.46894444,-109.60375
AZ88,ELOY FARMS AIRSTRIP,32.68950277,-111.5493194
E60,ELOY MUNI,32.80672194,-111.5866264
AZ04,SAWTOOTH,32.66084722,-111.6815306
36AZ,EXCEPTIONAL COMMUNITY HOSPITAL,32.73675,-111.549417
FLG,FLAGSTAFF PULLIAM,35.14031583,-111.6692414
AZ23,FLAGSTAFF MALL,35.2236225,-111.5832158
3AZ0,FLAGSTAFF MEDICAL CENTER EAST NO 2,35.2083,-111.6431139
FHU,SIERRA VISTA MUNI-LIBBY AAF,31.58847222,-110.3443889
5AZ9,REGENERATION,33.03051886,-109.9855951
E63,GILA BEND MUNI,32.96016944,-112.6736375
AZ05,LAKESIDE AIRPARK,33.1125,-112.6616667
GAX,WILLIAMS AUXILIARY AIRFIELD 6,32.88525,-112.8163056
GXF,GILA BEND AF AUX,32.88784722,-112.7196097
06AZ,MERCY GILBERT MEDICAL CENTER,33.28799166,-111.7521194
AZ79,AIRSCREW PERFORMANCE FLIGHTPARK,33.53004111,-112.2165425
GEU,GLENDALE RGNL,33.52691666,-112.2951389
77AZ,BANNER THUNDERBIRD MEDICAL CENTER,33.60833333,-112.1795972
LUF,LUKE AFB,33.53496111,-112.3832067
P13,SAN CARLOS APACHE,33.35313888,-110.6673611
AZ56,MORMON FLAT DAM,33.55337972,-111.4448544
AZ55,HORSE MESA NR 1,33.58254722,-111.3573519
AZ53,HORSE MESA DAM NR 2,33.59093333,-111.3436389
AZ54,STEWART MOUNTAIN DAM,33.5522675,-111.5490231
76AZ,WEST VALLEY MEDICAL CENTER,33.46131111,-112.3527611
GYR,PHOENIX GOODYEAR,33.42327777,-112.3753611
GCN,GRAND CANYON NTL PARK,35.95236111,-112.1469722
40G,VALLE,35.65056527,-112.1480919
14AZ,RUBY STAR AIRPARK,31.90922222,-111.1209722
AZ69,SANTA CRUZ VALLEY RGNL HOSPITAL,31.80722222,-111.0094444
68AZ,MUSIC MOUNTAIN AIR RANCH,35.47512222,-113.7691917
6AZ2,WISKY RANCH/CHEVLON,34.61680555,-110.6279611
03AZ,THOMPSON INTL AVIATION,31.4334325,-110.0839658
P14,HOLBROOK MUNI,34.94072222,-110.1385
11AZ,WHETSTONE,31.68370194,-110.2900775
AZ21,FOUR PILLARS,31.74583333,-110.2477778
0V7,KAYENTA,36.71644444,-110.2284444
E67,KEARNY,33.04719444,-110.9090556
IGM,KINGMAN,35.25947805,-113.9380503
73AZ,DUNTON RANCH,35.20194444,-113.3608333
AZ71,BIG SANDY,34.87075694,-113.5866431
AZ97,X BAR 1 RANCH (LOWER),35.34832916,-113.6888303
4AZ6,PARSONS FLD,34.99806388,-113.4615972
53AZ,OMS UAS TEST RANGE,35.44099505,-113.8148756
AZ45,CHINA PEAK OBSERVATORY,32.72923472,-110.2964753
AN01,AV RANCH,32.81666666,-110.3166667
9AZ2,SAGEBRUSH TRAILS ESTATES,34.58277777,-114.0277778
HII,LAKE HAVASU CITY,34.57112388,-114.3582769
AZ80,HAVASU SAMARITAN RGNL HOSPITAL,34.48112305,-114.3391214
71AZ,SPAWR,34.51,-114.3441667
AZ90,HANGAR HACIENDAS,33.34990297,-112.1234087
02AZ,SILVER BELL AHP,32.52086944,-111.3357944
4AZ8,THE ULTRALIGHT STRIP,32.29472222,-111.3444444
MZJ,PINAL AIRPARK,32.50983333,-111.3253333
AZ03,CLIFF DWELLERS,36.73443083,-111.7526639
L41,MARBLE CANYON,36.81080555,-111.6444444
AZ78,ARIZONA BAY,33.01111111,-112.2816667
